"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATACOMM","EQ","18-Nov-2024","1,749.90","1,749.90","1,755.80","1,715.20","1,727.25","1,727.35","1,728.01","2,27,643","39,33,69,356.10","19,911","1,41,767","62.28"
"TATACOMM","EQ","19-Nov-2024","1,727.35","1,727.25","1,773.00","1,721.00","1,730.60","1,736.70","1,748.05","1,62,668","28,43,52,040.80","21,210","59,546","36.61"
"TATACOMM","EQ","21-Nov-2024","1,736.70","1,725.05","1,733.85","1,699.25","1,710.00","1,711.55","1,714.03","1,26,914","21,75,34,833.00","13,283","50,432","39.74"
"TATACOMM","EQ","22-Nov-2024","1,711.55","1,712.00","1,744.75","1,701.00","1,740.00","1,738.15","1,723.42","1,62,339","27,97,78,403.25","18,840","74,382","45.82"
"TATACOMM","EQ","25-Nov-2024","1,738.15","1,751.00","1,791.20","1,751.00","1,790.95","1,784.10","1,782.59","5,06,465","90,28,20,589.05","29,416","3,32,826","65.72"
"TATACOMM","EQ","26-Nov-2024","1,784.10","1,790.00","1,817.25","1,762.00","1,765.95","1,765.05","1,784.65","2,41,531","43,10,48,093.95","23,143","77,593","32.13"
"TATACOMM","EQ","27-Nov-2024","1,765.05","1,772.80","1,775.20","1,744.55","1,760.00","1,763.00","1,763.15","1,48,132","26,11,79,604.90","12,828","65,222","44.03"
"TATACOMM","EQ","28-Nov-2024","1,763.00","1,757.15","1,765.35","1,728.15","1,745.00","1,745.10","1,744.73","4,60,400","80,32,74,116.10","36,551","2,42,186","52.60"
"TATACOMM","EQ","29-Nov-2024","1,745.10","1,730.00","1,759.10","1,729.20","1,756.75","1,755.10","1,749.14","3,51,952","61,56,13,942.50","31,495","2,00,071","56.85"
"TATACOMM","EQ","02-Dec-2024","1,755.10","1,755.10","1,798.35","1,741.70","1,789.80","1,792.15","1,775.78","1,73,554","30,81,94,444.75","16,151","66,215","38.15"
"TATACOMM","EQ","03-Dec-2024","1,792.15","1,805.00","1,815.30","1,790.30","1,805.50","1,807.90","1,807.43","4,45,536","80,52,76,695.75","33,626","1,98,231","44.49"
"TATACOMM","EQ","04-Dec-2024","1,807.90","1,807.90","1,822.75","1,790.00","1,805.00","1,800.85","1,805.11","2,93,897","53,05,17,032.05","22,906","1,46,982","50.01"
"TATACOMM","EQ","05-Dec-2024","1,800.85","1,814.00","1,814.95","1,789.00","1,805.00","1,805.70","1,803.36","1,96,144","35,37,17,544.50","21,992","91,858","46.83"
"TATACOMM","EQ","06-Dec-2024","1,805.70","1,807.00","1,811.30","1,783.70","1,792.50","1,788.10","1,795.67","1,83,784","33,00,14,971.30","17,326","85,735","46.65"
"TATACOMM","EQ","09-Dec-2024","1,788.10","1,780.00","1,803.50","1,777.10","1,790.30","1,785.35","1,787.47","2,11,992","37,89,29,245.80","21,753","1,09,667","51.73"
"TATACOMM","EQ","10-Dec-2024","1,785.35","1,794.70","1,798.55","1,769.15","1,775.05","1,775.10","1,779.82","1,81,819","32,36,04,606.80","13,688","1,21,979","67.09"
"TATACOMM","EQ","11-Dec-2024","1,775.10","1,779.90","1,844.00","1,774.20","1,844.00","1,839.95","1,826.48","6,09,522","1,11,32,77,907.90","35,413","1,91,745","31.46"
"TATACOMM","EQ","12-Dec-2024","1,839.95","1,842.50","1,861.80","1,827.90","1,851.85","1,851.10","1,846.77","7,86,410","1,45,23,16,493.25","37,294","3,45,534","43.94"
"TATACOMM","EQ","13-Dec-2024","1,851.10","1,839.10","1,846.45","1,781.00","1,840.00","1,840.95","1,818.32","3,45,271","62,78,14,410.10","27,991","1,16,728","33.81"
"TATACOMM","EQ","16-Dec-2024","1,840.95","1,841.05","1,860.60","1,841.05","1,845.00","1,856.25","1,854.36","2,94,052","54,52,78,895.40","13,900","1,74,734","59.42"
"TATACOMM","EQ","17-Dec-2024","1,856.25","1,850.30","1,858.65","1,798.50","1,806.90","1,813.55","1,819.94","2,59,393","47,20,78,425.20","21,131","1,22,904","47.38"
"TATACOMM","EQ","18-Dec-2024","1,813.55","1,812.10","1,814.10","1,786.25","1,796.15","1,795.55","1,798.25","3,61,677","65,03,86,807.65","25,290","2,29,743","63.52"
"TATACOMM","EQ","19-Dec-2024","1,795.55","1,750.00","1,797.10","1,749.95","1,766.35","1,768.00","1,775.58","2,24,198","39,80,80,585.00","18,616","91,461","40.79"
"TATACOMM","EQ","20-Dec-2024","1,768.00","1,768.00","1,785.40","1,704.20","1,711.45","1,710.45","1,734.49","3,02,890","52,53,58,880.05","26,763","1,81,460","59.91"
"TATACOMM","EQ","23-Dec-2024","1,710.45","1,721.95","1,732.85","1,700.00","1,716.45","1,709.45","1,717.97","2,16,183","37,13,95,307.40","20,176","89,723","41.50"
"TATACOMM","EQ","24-Dec-2024","1,709.45","1,718.90","1,727.70","1,702.00","1,707.00","1,721.80","1,717.64","1,67,662","28,79,83,667.10","16,172","66,282","39.53"
"TATACOMM","EQ","26-Dec-2024","1,721.80","1,721.80","1,738.00","1,703.55","1,728.75","1,733.35","1,718.58","3,26,464","56,10,54,390.50","22,834","1,71,845","52.64"
